"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"CVD_Risk_Behaviour_1.nlogox"
"wf_sweep"
"07/24/2026 02:00:29:408 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","influence_weight_friend","[step]","report-mean-risk","death-count","count people","rewiring-events","report-mean-friends"
"6","0.25","7","4.070796460176991","0","226","73","9.504424778761061"
"5","0.25","5","4.030769230769231","2","260","47","9.384615384615385"
"3","0.25","6","4.004115226337449","1","243","56","9.308641975308642"
"6","0.25","8","4.070796460176991","0","226","73","9.504424778761061"
"5","0.25","6","4.038910505836576","3","257","47","9.29182879377432"
"4","0.25","7","3.8991228070175437","2","228","60","9.649122807017545"
"6","0.25","9","4.071111111111111","0","225","73","9.466666666666667"
"2","0.25","7","4.063025210084033","0","238","57","9.529411764705882"
"4","0.25","8","3.898678414096916","2","227","60","9.603524229074889"
"1","0.25","10","4.056521739130435","0","230","58","9.617391304347827"
"4","0.25","9","3.898678414096916","2","227","60","9.603524229074889"
"2","0.25","8","4.063025210084033","0","238","57","9.529411764705882"
"3","0.25","7","4","2","242","87","9.520661157024794"
"1","0.25","11","4.057017543859649","1","228","58","9.526315789473685"
"2","0.25","9","4.063025210084033","0","238","57","9.529411764705882"
"3","0.25","8","4","2","242","87","9.520661157024794"
"1","0.25","12","4.057017543859649","1","228","58","9.526315789473685"
"5","0.25","7","4.03921568627451","3","255","72","9.427450980392157"
"6","0.25","10","4.071428571428571","0","224","85","9.526785714285714"
"3","0.25","9","4","2","242","87","9.520661157024794"
"5","0.25","8","4.03921568627451","3","255","72","9.427450980392157"
"4","0.25","10","3.898678414096916","2","227","67","9.665198237885463"
"6","0.25","11","4.071748878923767","1","223","85","9.488789237668161"
"4","0.25","11","3.898678414096916","2","227","67","9.665198237885463"
"5","0.25","9","4.03921568627451","3","255","72","9.427450980392157"
"2","0.25","10","4.063025210084033","0","238","65","9.596638655462185"
"6","0.25","12","4.071748878923767","1","223","85","9.488789237668161"
"4","0.25","12","3.898678414096916","2","227","67","9.665198237885463"
"3","0.25","10","4","2","240","100","9.541666666666666"
"2","0.25","11","4.0548523206751055","0","237","65","9.569620253164556"
"3","0.25","11","4","2","240","100","9.541666666666666"
"2","0.25","12","4.046610169491525","0","236","65","9.525423728813559"
"1","0.25","13","3.822314049586777","1","242","68","9.446280991735538"
"1","0.25","14","4.066115702479339","1","242","68","9.446280991735538"
"3","0.25","12","4.004201680672269","3","238","100","9.453781512605042"
"5","0.25","10","4.03921568627451","3","255","91","9.576470588235294"
"1","0.25","15","4.066390041493776","1","241","68","9.402489626556017"
"6","0.25","13","3.661290322580645","1","248","100","9.153225806451612"
"5","0.25","11","4.039370078740157","3","254","91","9.535433070866143"
"4","0.25","13","3.7016806722689077","2","238","72","9.453781512605042"
"5","0.25","12","4.0395256916996045","4","253","91","9.494071146245059"
"6","0.25","14","4.032258064516129","1","248","100","9.153225806451612"
"4","0.25","14","3.9327731092436973","2","238","72","9.453781512605042"
"6","0.25","15","4.036290322580645","1","248","100","9.153225806451612"
"4","0.25","15","3.923404255319149","2","235","72","9.327659574468084"
"2","0.25","13","3.7848605577689245","0","251","80","9.450199203187251"
"1","0.25","16","4.066945606694561","2","239","77","9.389121338912133"
"2","0.25","14","4.088","0","250","80","9.408"
"1","0.25","17","4.071729957805907","2","237","77","9.324894514767932"
"2","0.25","15","4.092","0","250","80","9.408"
"6","0.25","16","4.040650406504065","1","246","109","9.138211382113822"
"3","0.25","13","3.6374045801526718","3","262","120","9.320610687022901"
"4","0.25","16","3.923404255319149","2","235","82","9.412765957446808"
"1","0.25","18","4.071729957805907","2","237","77","9.324894514767932"
"3","0.25","14","3.9618320610687023","3","262","120","9.320610687022901"
