"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"CVD_Risk_Behaviour_1.nlogox"
"gamma_sweep"
"07/24/2026 01:56:28:138 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","gamma_behavior","[step]","report-mean-risk","death-count","count people","rewiring-events","report-mean-friends"
"2","1","64","4.080321285140562","16","249","355","9.485943775100402"
"4","4","82","3.9036144578313254","20","249","506","9.357429718875501"
"1","0.5","57","3.968","11","250","308","9.312"
"5","0.5","70","3.954356846473029","22","241","363","9.32780082987552"
"3","2","67","3.915129151291513","13","271","343","9.512915129151292"
"4","4","83","3.9036144578313254","20","249","506","9.357429718875501"
"2","1","65","4.080321285140562","16","249","355","9.485943775100402"
"3","2","68","3.914814814814815","13","270","343","9.474074074074075"
"4","4","84","3.903225806451613","20","248","506","9.314516129032258"
"5","0.5","71","3.9541666666666666","23","240","363","9.283333333333333"
"5","0.5","72","3.9535864978902953","24","237","363","9.164556962025317"
"2","1","66","4.080971659919029","17","247","355","9.40080971659919"
"3","2","69","3.9182156133828996","14","269","343","9.442379182156134"
"1","0.5","58","3.9718875502008033","11","249","323","9.389558232931726"
